frequency,power
47500000.000000,-108.869164
47505446.623094,-108.412621
47510893.246187,-106.097626
47516339.869281,-107.183990
47521786.492375,-112.527657
47527233.115468,-111.187988
47532679.738562,-108.384865
47538126.361656,-115.435150
47543572.984749,-110.445320
47549019.607843,-110.678787
47554466.230937,-112.354080
47559912.854030,-108.683311
47565359.477124,-109.561836
47570806.100218,-112.532799
47576252.723312,-112.307953
47581699.346405,-109.003075
47587145.969499,-111.654549
47592592.592593,-110.821289
47598039.215686,-109.117668
47603485.838780,-112.342422
47608932.461874,-111.978516
47614379.084967,-113.316658
47619825.708061,-111.842888
47625272.331155,-112.500534
47630718.954248,-112.489029
47636165.577342,-110.162674
47641612.200436,-111.877281
47647058.823529,-113.948105
47652505.446623,-112.844536
47657952.069717,-110.353729
47663398.692810,-116.575859
47668845.315904,-112.949608
47674291.938998,-110.379852
47679738.562091,-107.520409
47685185.185185,-112.091980
47690631.808279,-110.507576
47696078.431373,-109.023376
47701525.054466,-112.151176
47706971.677560,-111.138474
47712418.300654,-111.461449
47717864.923747,-107.598869
47723311.546841,-108.049019
47728758.169935,-110.244972
47734204.793028,-107.262718
47739651.416122,-110.090492
47745098.039216,-113.523972
47750544.662309,-110.037384
47755991.285403,-109.874886
47761437.908497,-117.702225
47766884.531590,-111.980927
47772331.154684,-107.129128
47777777.777778,-110.993919
47783224.400871,-111.005188
47788671.023965,-111.445129
47794117.647059,-111.520653
47799564.270153,-111.095306
47805010.893246,-111.433533
47810457.516340,-107.705498
47815904.139434,-107.606613
47821350.762527,-115.412514
47826797.385621,-111.149460
47832244.008715,-112.505707
47837690.631808,-108.291718
47843137.254902,-112.241707
47848583.877996,-112.457420
47854030.501089,-109.950012
47859477.124183,-111.275414
47864923.747277,-115.868179
47870370.370370,-114.078552
47875816.993464,-114.153702
47881263.616558,-111.601936
47886710.239651,-112.469513
47892156.862745,-114.511032
47897603.485839,-110.995300
47903050.108932,-111.145325
47908496.732026,-111.345375
47913943.355120,-107.413109
47919389.978214,-106.570366
47924836.601307,-106.945496
47930283.224401,-106.220459
47935729.847495,-113.158562
47941176.470588,-107.847740
47946623.093682,-113.660706
47952069.716776,-113.197899
47957516.339869,-111.059654
47962962.962963,-112.987129
47968409.586057,-113.862595
47973856.209150,-113.962601
47979302.832244,-106.791000
47984749.455338,-113.074478
47990196.078431,-109.356529
47995642.701525,-108.303146
48001089.324619,-95.659058
48006535.947712,-83.593864
48011982.570806,-110.317978
48017429.193900,-113.948303
48022875.816993,-112.947891
48028322.440087,-113.077621
48033769.063181,-117.111122
48039215.686275,-110.462494
48044662.309368,-110.853424
48050108.932462,-113.780861
48055555.555556,-112.776184
48061002.178649,-108.597549
48066448.801743,-108.354218
48071895.424837,-111.159271
48077342.047930,-113.387634
48082788.671024,-111.346329
48088235.294118,-111.102142
48093681.917211,-112.628662
48099128.540305,-111.526985
48104575.163399,-112.876518
48110021.786492,-110.891510
48115468.409586,-111.752701
48120915.032680,-107.205643
48126361.655773,-109.157753
48131808.278867,-109.836288
48137254.901961,-108.291321
48142701.525054,-111.600662
48148148.148148,-110.601341
48153594.771242,-112.832901
48159041.394336,-112.175438
48164488.017429,-108.897125
48169934.640523,-108.784492
48175381.263617,-112.222336
48180827.886710,-111.166687
48186274.509804,-110.913002
48191721.132898,-111.541046
48197167.755991,-114.900826
48202614.379085,-107.849815
48208061.002179,-110.010620
48213507.625272,-107.557297
48218954.248366,-110.048904
48224400.871460,-109.913414
48229847.494553,-106.215073
48235294.117647,-108.954773
48240740.740741,-110.677757
48246187.363834,-110.891434
48251633.986928,-112.339088
48257080.610022,-109.553787
48262527.233115,-111.622086
48267973.856209,-106.878059
48273420.479303,-106.314880
48278867.102397,-112.087708
48284313.725490,-112.152489
48289760.348584,-108.375473
48295206.971678,-109.245514
48300653.594771,-111.193352
48306100.217865,-110.374985
48311546.840959,-112.627060
48316993.464052,-109.482147
48322440.087146,-110.343513
48327886.710240,-110.796082
48333333.333333,-109.320442
48338779.956427,-107.273987
48344226.579521,-106.843613
48349673.202614,-109.676193
48355119.825708,-110.363548
48360566.448802,-111.963669
48366013.071895,-108.186981
48371459.694989,-113.060303
48376906.318083,-110.800636
48382352.941176,-108.228928
48387799.564270,-111.494507
48393246.187364,-110.364388
48398692.810458,-112.819778
48404139.433551,-113.286819
48409586.056645,-114.465469
48415032.679739,-111.835258
48420479.302832,-110.443863
48425925.925926,-111.191086
48431372.549020,-111.667542
48436819.172113,-109.946396
48442265.795207,-111.433441
48447712.418301,-111.898735
48453159.041394,-110.427826
48458605.664488,-111.201622
48464052.287582,-108.227852
48469498.910675,-109.050369
48474945.533769,-110.437103
48480392.156863,-112.597420
48485838.779956,-112.223633
48491285.403050,-115.455360
48496732.026144,-111.730042
48502178.649237,-108.104622
48507625.272331,-107.295074
48513071.895425,-105.107727
48518518.518519,-107.329369
48523965.141612,-114.437096
48529411.764706,-111.327423
48534858.387800,-108.643494
48540305.010893,-110.341095
48545751.633987,-108.753357
48551198.257081,-108.268661
48556644.880174,-107.247147
48562091.503268,-109.120262
48567538.126362,-111.008774
48572984.749455,-109.237709
48578431.372549,-107.671783
48583877.995643,-108.852554
48589324.618736,-108.121704
48594771.241830,-107.610794
48600217.864924,-109.640137
48605664.488017,-113.886063
48611111.111111,-111.196152
48616557.734205,-109.353775
48622004.357298,-108.316307
48627450.980392,-110.814713
48632897.603486,-108.605843
48638344.226580,-110.830452
48643790.849673,-108.094696
48649237.472767,-110.743774
48654684.095861,-111.637253
48660130.718954,-106.605820
48665577.342048,-111.520279
48671023.965142,-110.782928
48676470.588235,-109.713631
48681917.211329,-106.236221
48687363.834423,-104.704529
48692810.457516,-113.304504
48698257.080610,-109.840538
48703703.703704,-108.164490
48709150.326797,-111.179977
48714596.949891,-110.911743
48720043.572985,-111.709732
48725490.196078,-108.708771
48730936.819172,-110.402603
48736383.442266,-108.478935
48741830.065359,-112.647644
48747276.688453,-107.033691
48752723.311547,-107.338676
48758169.934641,-114.685448
48763616.557734,-109.136284
48769063.180828,-107.036697
48774509.803922,-109.634293
48779956.427015,-114.072914
48785403.050109,-110.598343
48790849.673203,-109.208595
48796296.296296,-109.836548
48801742.919390,-108.673256
48807189.542484,-116.003227
48812636.165577,-111.388489
48818082.788671,-109.282318
48823529.411765,-109.755333
48828976.034858,-109.026794
48834422.657952,-108.827377
48839869.281046,-107.023857
48845315.904139,-110.256454
48850762.527233,-113.528679
48856209.150327,-110.937271
48861655.773420,-113.704407
48867102.396514,-110.684219
