frequency,power
50000000.000000,-106.017769
50005446.623094,-105.705528
50010893.246187,-108.464653
50016339.869281,-108.727295
50021786.492375,-109.773743
50027233.115468,-111.722809
50032679.738562,-108.790054
50038126.361656,-112.525909
50043572.984749,-106.803055
50049019.607843,-107.100380
50054466.230937,-109.824478
50059912.854030,-106.459717
50065359.477124,-108.674934
50070806.100218,-112.513260
50076252.723312,-108.525269
50081699.346405,-109.253281
50087145.969499,-104.398010
50092592.592593,-109.341545
50098039.215686,-111.461426
50103485.838780,-110.338982
50108932.461874,-107.721931
50114379.084967,-110.688087
50119825.708061,-115.038895
50125272.331155,-107.394348
50130718.954248,-105.212975
50136165.577342,-106.944191
50141612.200436,-107.047546
50147058.823529,-112.747719
50152505.446623,-110.777885
50157952.069717,-108.303314
50163398.692810,-115.345375
50168845.315904,-106.688545
50174291.938998,-106.213470
50179738.562091,-108.557571
50185185.185185,-113.240425
50190631.808279,-108.146072
50196078.431373,-111.464378
50201525.054466,-110.390533
50206971.677560,-111.314667
50212418.300654,-111.465294
50217864.923747,-106.143738
50223311.546841,-109.385078
50228758.169935,-109.597702
50234204.793028,-108.956680
50239651.416122,-109.712997
50245098.039216,-113.172775
50250544.662309,-109.065742
50255991.285403,-106.430511
50261437.908497,-107.354057
50266884.531590,-115.202415
50272331.154684,-108.388641
50277777.777778,-111.938950
50283224.400871,-107.463928
50288671.023965,-108.981430
50294117.647059,-110.284592
50299564.270153,-108.272324
50305010.893246,-105.789062
50310457.516340,-107.829361
50315904.139434,-109.643898
50321350.762527,-108.292702
50326797.385621,-109.490929
50332244.008715,-112.648056
50337690.631808,-111.642006
50343137.254902,-107.360794
50348583.877996,-110.011398
50354030.501089,-109.726868
50359477.124183,-108.866898
50364923.747277,-109.586761
50370370.370370,-109.891212
50375816.993464,-112.932449
50381263.616558,-105.670029
50386710.239651,-110.967880
50392156.862745,-109.980812
50397603.485839,-109.720161
50403050.108932,-109.364044
50408496.732026,-108.393936
50413943.355120,-112.907219
50419389.978214,-104.235802
50424836.601307,-105.783936
50430283.224401,-106.137077
50435729.847495,-109.588257
50441176.470588,-112.943153
50446623.093682,-106.461571
50452069.716776,-110.503647
50457516.339869,-108.077942
50462962.962963,-110.019760
50468409.586057,-105.163300
50473856.209150,-104.744110
50479302.832244,-106.730103
50484749.455338,-110.986984
50490196.078431,-108.467140
50495642.701525,-107.679291
50501089.324619,-109.377678
50506535.947712,-109.388290
50511982.570806,-106.668030
50517429.193900,-109.004906
50522875.816993,-110.470093
50528322.440087,-109.596397
50533769.063181,-111.984299
50539215.686275,-106.521057
50544662.309368,-103.357353
50550108.932462,-104.565582
50555555.555556,-107.792664
50561002.178649,-108.332031
50566448.801743,-110.054771
50571895.424837,-111.740494
50577342.047930,-114.105438
50582788.671024,-105.961563
50588235.294118,-107.977158
50593681.917211,-108.906021
50599128.540305,-110.526062
50604575.163399,-108.384186
50610021.786492,-113.059570
50615468.409586,-105.272255
50620915.032680,-110.246315
50626361.655773,-109.008469
50631808.278867,-111.670486
50637254.901961,-105.485062
50642701.525054,-109.984329
50648148.148148,-109.526657
50653594.771242,-112.083084
50659041.394336,-105.132965
50664488.017429,-109.571472
50669934.640523,-109.207932
50675381.263617,-105.654442
50680827.886710,-111.554398
50686274.509804,-108.860237
50691721.132898,-111.694366
50697167.755991,-109.092934
50702614.379085,-106.356064
50708061.002179,-107.588486
50713507.625272,-109.286865
50718954.248366,-105.704987
50724400.871460,-108.997345
50729847.494553,-107.895020
50735294.117647,-108.044960
50740740.740741,-105.344734
50746187.363834,-104.518745
50751633.986928,-110.726059
50757080.610022,-105.040497
50762527.233115,-105.277969
50767973.856209,-107.138351
50773420.479303,-106.749939
50778867.102397,-107.212296
50784313.725490,-105.508621
50789760.348584,-107.193192
50795206.971678,-109.166420
50800653.594771,-107.581322
50806100.217865,-105.148102
50811546.840959,-105.130585
50816993.464052,-104.774025
50822440.087146,-106.385147
50827886.710240,-104.357819
50833333.333333,-106.444901
50838779.956427,-106.222649
50844226.579521,-103.780212
50849673.202614,-110.165344
50855119.825708,-107.794464
50860566.448802,-106.068382
50866013.071895,-109.849388
50871459.694989,-110.783119
50876906.318083,-107.098381
50882352.941176,-104.128685
50887799.564270,-106.654556
50893246.187364,-106.506462
50898692.810458,-106.449982
50904139.433551,-109.323120
50909586.056645,-111.013992
50915032.679739,-109.132011
50920479.302832,-106.837532
50925925.925926,-106.466019
50931372.549020,-106.669281
50936819.172113,-107.978737
50942265.795207,-106.029419
50947712.418301,-110.186981
50953159.041394,-105.831573
50958605.664488,-106.349014
50964052.287582,-107.307602
50969498.910675,-108.823586
50974945.533769,-109.259949
50980392.156863,-104.773018
50985838.779956,-106.298134
50991285.403050,-100.689583
50996732.026144,-101.481773
51002178.649237,-106.319275
51007625.272331,-105.643433
51013071.895425,-111.971054
51018518.518519,-105.080536
51023965.141612,-107.298828
51029411.764706,-105.380089
51034858.387800,-107.055275
51040305.010893,-104.339508
51045751.633987,-107.731285
51051198.257081,-108.590027
51056644.880174,-112.381516
51062091.503268,-106.714417
51067538.126362,-106.619064
51072984.749455,-105.037384
51078431.372549,-107.500542
51083877.995643,-109.301895
51089324.618736,-108.200333
51094771.241830,-109.378883
51100217.864924,-105.624603
51105664.488017,-107.924118
51111111.111111,-108.771988
51116557.734205,-107.937515
51122004.357298,-104.949730
51127450.980392,-103.506538
51132897.603486,-103.017273
51138344.226580,-104.216194
51143790.849673,-109.876701
51149237.472767,-108.029137
51154684.095861,-107.615845
51160130.718954,-107.729965
51165577.342048,-107.865532
51171023.965142,-117.754044
51176470.588235,-102.128105
51181917.211329,-106.243790
51187363.834423,-106.801231
51192810.457516,-107.113052
51198257.080610,-107.921837
51203703.703704,-108.544884
51209150.326797,-113.843460
51214596.949891,-103.964996
51220043.572985,-104.529083
51225490.196078,-111.114655
51230936.819172,-107.037048
51236383.442266,-104.185303
51241830.065359,-109.380638
51247276.688453,-108.514290
51252723.311547,-108.820953
51258169.934641,-106.066925
51263616.557734,-103.955490
51269063.180828,-106.220329
51274509.803922,-107.323349
51279956.427015,-106.419357
51285403.050109,-111.519516
51290849.673203,-105.042351
51296296.296296,-105.743759
51301742.919390,-106.407402
51307189.542484,-106.253822
51312636.165577,-108.304588
51318082.788671,-109.849030
51323529.411765,-106.974861
51328976.034858,-107.409554
51334422.657952,-108.939812
51339869.281046,-105.590630
51345315.904139,-106.758026
51350762.527233,-105.129692
51356209.150327,-108.901840
51361655.773420,-108.087654
51367102.396514,-107.746521
51372549.019608,-107.319649
51377995.642702,-105.192329
51383442.265795,-106.379616
51388888.888889,-106.814911
51394335.511983,-107.169266
51399782.135076,-105.764359
51405228.758170,-109.940582
51410675.381264,-108.351959
51416122.004357,-105.021408
51421568.627451,-107.403549
51427015.250545,-107.040070
51432461.873638,-107.082069
51437908.496732,-108.983162
51443355.119826,-105.690857
51448801.742919,-108.586533
51454248.366013,-107.135231
51459694.989107,-105.493736
51465141.612200,-108.717804
51470588.235294,-107.600319
51476034.858388,-105.867554
51481481.481481,-106.470787
51486928.104575,-107.215378
51492374.727669,-107.233513
51497821.350763,-109.951134
51503267.973856,-106.247467
51508714.596950,-108.505386
51514161.220044,-108.192017
51519607.843137,-104.793503
51525054.466231,-108.029243
51530501.089325,-104.594528
51535947.712418,-107.811081
51541394.335512,-107.115372
51546840.958606,-104.041077
51552287.581699,-107.128662
51557734.204793,-109.589493
51563180.827887,-107.737411
51568627.450980,-108.756096
51574074.074074,-105.721939
51579520.697168,-108.238869
51584967.320261,-104.431068
51590413.943355,-105.386276
51595860.566449,-106.248619
51601307.189542,-107.356735
51606753.812636,-103.898254
51612200.435730,-105.563858
51617647.058824,-103.349846
51623093.681917,-105.338913
51628540.305011,-107.247879
51633986.928105,-109.281128
51639433.551198,-108.193344
51644880.174292,-108.571304
51650326.797386,-111.308815
51655773.420479,-108.786224
51661220.043573,-105.034523
51666666.666667,-105.740662
51672113.289760,-104.541695
51677559.912854,-110.999672
51683006.535948,-105.444061
51688453.159041,-107.866600
51693899.782135,-106.625275
51699346.405229,-111.747787
51704793.028322,-110.151604
51710239.651416,-108.114136
51715686.274510,-109.190109
51721132.897603,-106.148773
51726579.520697,-107.825195
51732026.143791,-108.113701
51737472.766885,-103.660110
51742919.389978,-106.948959
51748366.013072,-107.038971
51753812.636166,-106.417122
51759259.259259,-104.192665
51764705.882353,-113.105896
51770152.505447,-107.318069
51775599.128540,-108.037125
51781045.751634,-108.451393
51786492.374728,-110.641090
51791938.997821,-109.202972
51797385.620915,-111.214630
51802832.244009,-105.898933
51808278.867102,-111.834190
51813725.490196,-105.795532
51819172.113290,-109.849846
51824618.736383,-105.306442
51830065.359477,-107.641724
51835511.982571,-108.293930
51840958.605664,-109.812256
51846405.228758,-110.978844
51851851.851852,-109.815453
51857298.474946,-112.364899
51862745.098039,-106.945679
51868191.721133,-112.347305
51873638.344227,-108.492126
51879084.967320,-109.061722
51884531.590414,-109.023834
51889978.213508,-105.891678
51895424.836601,-105.355614
51900871.459695,-105.128769
51906318.082789,-106.799461
51911764.705882,-107.109108
51917211.328976,-109.929199
51922657.952070,-107.823074
51928104.575163,-108.798866
51933551.198257,-107.283310
51938997.821351,-104.490089
51944444.444444,-108.518188
51949891.067538,-111.201248
51955337.690632,-106.967125
51960784.313725,-106.578148
51966230.936819,-107.701965
51971677.559913,-107.757614
51977124.183007,-108.641502
51982570.806100,-110.384003
51988017.429194,-109.279327
51993464.052288,-107.442696
51998910.675381,-116.954506
52004357.298475,-111.820869
52009803.921569,-106.259071
52015250.544662,-108.861252
52020697.167756,-106.142281
52026143.790850,-107.661911
52031590.413943,-107.696136
52037037.037037,-107.154099
52042483.660131,-107.788437
52047930.283224,-107.436783
52053376.906318,-108.372307
52058823.529412,-110.381134
52064270.152505,-105.133987
52069716.775599,-107.254753
52075163.398693,-109.834579
52080610.021786,-111.034973
52086056.644880,-108.562431
52091503.267974,-109.937805
52096949.891068,-105.711784
52102396.514161,-106.175049
52107843.137255,-106.187027
52113289.760349,-109.148247
52118736.383442,-113.408653
52124183.006536,-113.650604
52129629.629630,-110.413910
52135076.252723,-110.751717
52140522.875817,-107.372681
52145969.498911,-109.859680
52151416.122004,-108.950912
52156862.745098,-110.940094
52162309.368192,-109.803528
52167755.991285,-108.584641
52173202.614379,-109.097565
52178649.237473,-112.373383
52184095.860566,-109.440346
52189542.483660,-110.793015
52194989.106754,-109.386055
52200435.729847,-106.473854
52205882.352941,-112.833549
52211328.976035,-111.841125
52216775.599129,-115.391472
52222222.222222,-108.824997
52227668.845316,-108.433136
52233115.468410,-113.357513
52238562.091503,-110.596710
52244008.714597,-106.007011
52249455.337691,-108.570969
52254901.960784,-111.483597
52260348.583878,-111.681427
52265795.206972,-108.573112
52271241.830065,-110.538857
52276688.453159,-107.863541
52282135.076253,-110.005539
52287581.699346,-112.434341
52293028.322440,-108.515587
52298474.945534,-109.604233
52303921.568627,-111.461807
52309368.191721,-109.910461
52314814.814815,-112.620941
52320261.437909,-112.721176
52325708.061002,-108.943947
52331154.684096,-109.760757
52336601.307190,-109.425186
52342047.930283,-108.603836
52347494.553377,-114.809349
52352941.176471,-111.831665
52358387.799564,-112.772072
52363834.422658,-112.522591
52369281.045752,-111.421349
52374727.668845,-109.748688
52380174.291939,-108.057701
52385620.915033,-109.343033
52391067.538126,-108.000015
52396514.161220,-109.823151
52401960.784314,-107.567589
52407407.407407,-115.969879
52412854.030501,-112.618439
52418300.653595,-107.665405
52423747.276688,-109.095314
52429193.899782,-105.261719
52434640.522876,-110.720100
52440087.145969,-108.072777
52445533.769063,-111.427521
52450980.392157,-108.400314
52456427.015251,-108.161179
52461873.638344,-108.224709
52467320.261438,-109.109337
52472766.884532,-107.283264
52478213.507625,-112.425949
52483660.130719,-111.127365
52489106.753813,-114.067268
52494553.376906,-110.174347
52500000.000000,-111.884605
52505446.623094,-111.013802
52510893.246187,-107.294220
52516339.869281,-108.452454
52521786.492375,-110.485245
52527233.115468,-109.594986
52532679.738562,-109.165985
52538126.361656,-111.859604
52543572.984749,-112.352310
52549019.607843,-113.309898
52554466.230937,-109.832619
52559912.854031,-110.501389
52565359.477124,-111.509178
52570806.100218,-106.888275
52576252.723312,-107.526657
52581699.346405,-106.490448
52587145.969499,-110.984619
52592592.592593,-108.454544
52598039.215686,-109.588333
52603485.838780,-111.116524
52608932.461874,-112.992897
52614379.084967,-112.015083
52619825.708061,-112.415909
52625272.331155,-108.646378
52630718.954248,-110.981827
52636165.577342,-110.896881
52641612.200436,-106.488739
52647058.823529,-107.234871
52652505.446623,-110.498352
52657952.069717,-110.814507
52663398.692810,-106.921730
52668845.315904,-109.089737
52674291.938998,-111.288307
52679738.562091,-109.148605
52685185.185185,-110.974083
52690631.808279,-107.899307
52696078.431373,-112.725296
52701525.054466,-109.720009
52706971.677560,-109.920593
52712418.300654,-108.093826
52717864.923747,-110.646317
52723311.546841,-109.838577
52728758.169935,-109.578438
52734204.793028,-106.944992
52739651.416122,-109.590599
52745098.039216,-111.506302
52750544.662309,-110.146194
52755991.285403,-111.895050
52761437.908497,-109.136803
52766884.531590,-108.504349
52772331.154684,-112.474281
52777777.777778,-113.828506
52783224.400871,-109.102615
52788671.023965,-112.979286
52794117.647059,-114.012192
52799564.270153,-111.430267
52805010.893246,-109.010620
52810457.516340,-114.782837
52815904.139434,-112.758553
52821350.762527,-110.800713
52826797.385621,-111.329033
52832244.008715,-112.118790
52837690.631808,-110.098885
52843137.254902,-107.385315
52848583.877996,-113.281219
52854030.501089,-111.670731
52859477.124183,-107.632935
52864923.747277,-108.345757
52870370.370370,-107.781029
52875816.993464,-110.041512
52881263.616558,-110.822205
52886710.239651,-111.995148
52892156.862745,-112.052094
52897603.485839,-111.319778
52903050.108932,-112.395943
52908496.732026,-110.899193
52913943.355120,-109.892464
52919389.978214,-111.403389
52924836.601307,-110.333183
52930283.224401,-107.541824
52935729.847495,-110.295166
52941176.470588,-110.586464
52946623.093682,-111.620636
52952069.716776,-108.842705
52957516.339869,-111.440598
52962962.962963,-107.747734
52968409.586057,-110.396317
52973856.209150,-107.098053
52979302.832244,-108.402100
52984749.455338,-110.364914
52990196.078431,-108.992905
52995642.701525,-111.646606
53001089.324619,-109.895233
53006535.947712,-110.156853
53011982.570806,-108.157608
53017429.193900,-108.715401
53022875.816993,-109.768692
53028322.440087,-111.898544
53033769.063181,-109.655930
53039215.686275,-105.068069
53044662.309368,-109.484650
53050108.932462,-109.556381
53055555.555556,-109.019157
53061002.178649,-109.600533
53066448.801743,-111.238602
53071895.424837,-106.967690
53077342.047930,-111.102295
53082788.671024,-109.234070
53088235.294118,-111.767960
53093681.917211,-111.964951
53099128.540305,-115.119087
53104575.163399,-111.760223
53110021.786492,-111.979134
53115468.409586,-110.397430
53120915.032680,-106.660934
53126361.655773,-106.903076
53131808.278867,-107.416809
53137254.901961,-109.950363
53142701.525054,-110.131294
53148148.148148,-107.210022
53153594.771242,-110.484047
53159041.394336,-108.943016
53164488.017429,-110.360992
53169934.640523,-109.689606
53175381.263617,-108.316910
53180827.886710,-105.659721
53186274.509804,-106.366875
53191721.132898,-109.122742
53197167.755991,-109.202919
