frequency,power
51000000.000000,-112.404846
51005446.623094,-104.835091
51010893.246187,-115.579491
51016339.869281,-109.125168
51021786.492375,-109.157295
51027233.115468,-112.459183
51032679.738562,-107.112488
51038126.361656,-109.878609
51043572.984749,-108.077820
51049019.607843,-109.831322
51054466.230937,-107.318306
51059912.854030,-105.607231
51065359.477124,-105.552170
51070806.100218,-108.189713
51076252.723312,-110.616806
51081699.346405,-108.354340
51087145.969499,-108.392914
51092592.592593,-109.761513
51098039.215686,-111.243446
51103485.838780,-106.833504
51108932.461874,-105.900146
51114379.084967,-110.046074
51119825.708061,-110.156898
51125272.331155,-110.250137
51130718.954248,-109.324615
51136165.577342,-112.754517
51141612.200436,-112.574448
51147058.823529,-108.270462
51152505.446623,-107.092819
51157952.069717,-111.975060
51163398.692810,-115.339111
51168845.315904,-109.741501
51174291.938998,-106.545334
51179738.562091,-104.297478
51185185.185185,-106.665466
51190631.808279,-108.694031
51196078.431373,-106.117897
51201525.054466,-109.991676
51206971.677560,-107.437401
51212418.300654,-109.112282
51217864.923747,-112.031143
51223311.546841,-109.360718
51228758.169935,-112.386322
51234204.793028,-105.729736
51239651.416122,-106.585121
51245098.039216,-109.804886
51250544.662309,-108.882812
51255991.285403,-104.547607
51261437.908497,-108.219772
51266884.531590,-108.678345
51272331.154684,-105.645592
51277777.777778,-106.886719
51283224.400871,-103.880913
51288671.023965,-109.802292
51294117.647059,-106.335060
51299564.270153,-105.654945
51305010.893246,-108.867195
51310457.516340,-107.123421
51315904.139434,-107.308044
51321350.762527,-106.307297
51326797.385621,-109.232559
51332244.008715,-109.856216
51337690.631808,-105.961136
51343137.254902,-105.058960
51348583.877996,-110.422165
51354030.501089,-109.240906
51359477.124183,-108.149635
51364923.747277,-109.138779
51370370.370370,-104.315712
51375816.993464,-105.595062
51381263.616558,-107.101143
51386710.239651,-107.488625
51392156.862745,-106.937935
51397603.485839,-107.706596
51403050.108932,-108.325089
51408496.732026,-109.969856
51413943.355120,-107.666328
51419389.978214,-107.227791
51424836.601307,-114.107193
51430283.224401,-108.610390
51435729.847495,-105.288406
51441176.470588,-106.794594
51446623.093682,-108.482025
51452069.716776,-109.475792
51457516.339869,-107.718163
51462962.962963,-111.556999
51468409.586057,-105.578094
51473856.209150,-105.784561
51479302.832244,-113.033661
51484749.455338,-108.944489
51490196.078431,-112.852036
51495642.701525,-111.713943
51501089.324619,-103.907784
51506535.947712,-105.100891
51511982.570806,-107.403198
51517429.193900,-108.457802
51522875.816993,-112.365501
51528322.440087,-108.338211
51533769.063181,-109.456100
51539215.686275,-110.040115
51544662.309368,-108.307648
51550108.932462,-108.818703
51555555.555556,-110.969833
51561002.178649,-110.860947
51566448.801743,-116.443695
51571895.424837,-104.657043
51577342.047930,-108.209145
51582788.671024,-107.230492
51588235.294118,-108.910873
51593681.917211,-106.833847
51599128.540305,-106.524361
51604575.163399,-110.924637
51610021.786492,-110.005959
51615468.409586,-110.382935
51620915.032680,-107.201859
51626361.655773,-106.732376
51631808.278867,-106.349915
51637254.901961,-109.107346
51642701.525054,-108.821190
51648148.148148,-106.234909
51653594.771242,-107.369537
51659041.394336,-111.078072
51664488.017429,-108.746574
51669934.640523,-106.180641
51675381.263617,-108.175545
51680827.886710,-107.179840
51686274.509804,-107.489052
51691721.132898,-107.411072
51697167.755991,-110.402725
51702614.379085,-109.916519
51708061.002179,-109.989563
51713507.625272,-107.785507
51718954.248366,-107.176834
51724400.871460,-105.625237
51729847.494553,-110.360115
51735294.117647,-106.306793
51740740.740741,-105.943253
51746187.363834,-110.475418
51751633.986928,-107.439133
51757080.610022,-109.498909
51762527.233115,-104.627014
51767973.856209,-108.856438
51773420.479303,-108.041595
51778867.102397,-106.871887
51784313.725490,-111.200958
51789760.348584,-109.068466
51795206.971678,-110.694214
51800653.594771,-111.621353
51806100.217865,-108.769417
51811546.840959,-108.358856
51816993.464052,-108.659904
51822440.087146,-104.399689
51827886.710240,-107.142677
51833333.333333,-112.228081
51838779.956427,-107.104401
51844226.579521,-106.311798
51849673.202614,-108.532295
51855119.825708,-107.447624
51860566.448802,-108.396820
51866013.071895,-108.282997
51871459.694989,-110.666214
51876906.318083,-108.468475
51882352.941176,-110.649834
51887799.564270,-107.986671
51893246.187364,-107.901642
51898692.810458,-109.038391
