frequency,power
50500000.000000,-108.632080
50505446.623094,-105.582596
50510893.246187,-108.993080
50516339.869281,-110.130234
50521786.492375,-112.179787
50527233.115468,-109.816193
50532679.738562,-109.244576
50538126.361656,-112.496025
50543572.984749,-108.201950
50549019.607843,-106.892807
50554466.230937,-108.303291
50559912.854030,-108.015404
50565359.477124,-110.144661
50570806.100218,-112.531677
50576252.723312,-108.295708
50581699.346405,-110.686043
50587145.969499,-108.670204
50592592.592593,-112.274811
50598039.215686,-112.685791
50603485.838780,-107.563721
50608932.461874,-109.463799
50614379.084967,-109.100426
50619825.708061,-110.545494
50625272.331155,-112.033958
50630718.954248,-110.509300
50636165.577342,-109.484863
50641612.200436,-110.274994
50647058.823529,-111.251945
50652505.446623,-111.774200
50657952.069717,-114.071716
50663398.692810,-111.575851
50668845.315904,-112.512062
50674291.938998,-112.744812
50679738.562091,-107.747253
50685185.185185,-109.927330
50690631.808279,-109.057968
50696078.431373,-112.464874
50701525.054466,-112.492149
50706971.677560,-111.191399
50712418.300654,-110.662521
50717864.923747,-111.416466
50723311.546841,-107.780342
50728758.169935,-113.160080
50734204.793028,-114.719696
50739651.416122,-117.065948
50745098.039216,-113.390663
50750544.662309,-110.489006
50755991.285403,-112.354729
50761437.908497,-111.445992
50766884.531590,-108.325668
50772331.154684,-106.315231
50777777.777778,-108.135071
50783224.400871,-110.869987
50788671.023965,-110.674210
50794117.647059,-112.016190
50799564.270153,-111.157822
50805010.893246,-111.865738
50810457.516340,-113.323021
50815904.139434,-112.430923
50821350.762527,-110.772400
50826797.385621,-112.063995
50832244.008715,-113.274162
50837690.631808,-106.531380
50843137.254902,-109.877594
50848583.877996,-112.214897
50854030.501089,-109.012848
50859477.124183,-112.528061
50864923.747277,-108.883621
50870370.370370,-109.607758
50875816.993464,-111.031303
50881263.616558,-113.838226
50886710.239651,-117.071762
50892156.862745,-109.899811
50897603.485839,-112.148758
50903050.108932,-107.215652
50908496.732026,-111.465546
50913943.355120,-109.118927
50919389.978214,-110.737755
50924836.601307,-108.851013
50930283.224401,-110.722458
50935729.847495,-113.642319
50941176.470588,-109.862022
50946623.093682,-112.509850
50952069.716776,-112.273712
50957516.339869,-108.347366
50962962.962963,-110.915794
50968409.586057,-113.547295
50973856.209150,-110.829231
50979302.832244,-111.657982
50984749.455338,-107.986031
50990196.078431,-110.568703
50995642.701525,-110.846725
51001089.324619,-112.507584
51006535.947712,-105.103546
51011982.570806,-108.253296
51017429.193900,-113.597221
51022875.816993,-111.609253
51028322.440087,-115.213013
51033769.063181,-111.829391
51039215.686275,-110.854507
51044662.309368,-111.140533
51050108.932462,-111.161156
51055555.555556,-114.336349
51061002.178649,-116.157837
51066448.801743,-109.791885
51071895.424837,-113.702507
51077342.047930,-110.913589
51082788.671024,-114.905029
51088235.294118,-115.733017
51093681.917211,-111.621162
51099128.540305,-109.532059
51104575.163399,-111.682091
51110021.786492,-114.932030
51115468.409586,-113.754944
51120915.032680,-116.010880
51126361.655773,-115.497940
51131808.278867,-115.497696
51137254.901961,-109.156769
51142701.525054,-108.109497
51148148.148148,-114.649086
51153594.771242,-110.528328
51159041.394336,-110.131516
51164488.017429,-117.477448
51169934.640523,-110.885193
51175381.263617,-110.412132
51180827.886710,-111.624069
51186274.509804,-110.588608
51191721.132898,-112.167816
51197167.755991,-110.997932
51202614.379085,-115.502579
51208061.002179,-115.340424
51213507.625272,-109.118690
51218954.248366,-113.589554
51224400.871460,-112.163452
51229847.494553,-108.355865
51235294.117647,-110.353134
51240740.740741,-111.036636
51246187.363834,-111.286659
51251633.986928,-110.803673
51257080.610022,-112.854370
51262527.233115,-113.405487
51267973.856209,-113.657188
51273420.479303,-111.699028
51278867.102397,-105.860634
51284313.725490,-105.147820
51289760.348584,-110.007812
51295206.971678,-114.542839
51300653.594771,-110.276154
51306100.217865,-112.653732
51311546.840959,-109.753311
51316993.464052,-113.111710
51322440.087146,-114.385384
51327886.710240,-109.795059
51333333.333333,-111.502808
51338779.956427,-113.565819
51344226.579521,-111.708458
51349673.202614,-114.231201
51355119.825708,-115.854729
51360566.448802,-111.255814
51366013.071895,-111.860359
51371459.694989,-112.413490
51376906.318083,-111.603737
51382352.941176,-110.555809
51387799.564270,-112.037521
51393246.187364,-112.987488
51398692.810458,-109.644516
51404139.433551,-111.648087
51409586.056645,-113.197006
51415032.679739,-109.005219
51420479.302832,-109.248535
51425925.925926,-112.950203
51431372.549020,-111.609840
51436819.172113,-110.923622
51442265.795207,-111.940079
51447712.418301,-112.529564
51453159.041394,-113.141129
51458605.664488,-116.070633
51464052.287582,-113.879868
51469498.910675,-111.649620
51474945.533769,-113.422386
51480392.156863,-110.489288
51485838.779956,-109.614349
51491285.403050,-114.372620
51496732.026144,-114.245415
51502178.649237,-110.475922
51507625.272331,-113.739761
51513071.895425,-105.541298
51518518.518519,-116.113800
51523965.141612,-111.078323
51529411.764706,-112.349701
51534858.387800,-111.531990
51540305.010893,-114.700836
51545751.633987,-114.334732
51551198.257081,-114.129379
51556644.880174,-109.031876
51562091.503268,-111.973114
51567538.126362,-117.694641
51572984.749455,-111.044846
51578431.372549,-115.858269
51583877.995643,-111.840942
51589324.618736,-117.310837
51594771.241830,-116.398483
51600217.864924,-108.724106
51605664.488017,-111.968002
51611111.111111,-111.112457
51616557.734205,-116.425812
51622004.357298,-108.146065
51627450.980392,-113.595535
51632897.603486,-112.808655
51638344.226580,-111.943268
51643790.849673,-111.153038
51649237.472767,-109.810097
51654684.095861,-109.409378
51660130.718954,-111.655182
51665577.342048,-112.288284
51671023.965142,-112.684021
51676470.588235,-111.561279
51681917.211329,-114.165337
51687363.834423,-112.170059
51692810.457516,-111.313332
51698257.080610,-112.658546
51703703.703704,-114.022583
51709150.326797,-111.477493
51714596.949891,-110.418556
51720043.572985,-114.566719
51725490.196078,-119.768585
51730936.819172,-112.202744
51736383.442266,-111.512756
51741830.065359,-110.736923
51747276.688453,-117.277138
51752723.311547,-113.013229
51758169.934641,-113.793480
51763616.557734,-113.354195
51769063.180828,-112.287613
51774509.803922,-114.998550
51779956.427015,-114.853447
51785403.050109,-108.929276
51790849.673203,-113.130035
51796296.296296,-112.747681
51801742.919390,-116.338966
51807189.542484,-116.912338
51812636.165577,-115.934280
51818082.788671,-118.778519
51823529.411765,-114.057968
51828976.034858,-114.259933
51834422.657952,-114.301834
51839869.281046,-116.340912
51845315.904139,-118.812744
51850762.527233,-114.790848
51856209.150327,-115.068924
51861655.773420,-115.740517
51867102.396514,-114.890984
51872549.019608,-112.997505
51877995.642702,-106.645134
51883442.265795,-116.162659
51888888.888889,-111.419838
51894335.511983,-112.382629
51899782.135076,-112.633865
51905228.758170,-116.983376
51910675.381264,-111.038063
51916122.004357,-110.557526
51921568.627451,-111.942886
51927015.250545,-107.523331
51932461.873638,-117.906258
51937908.496732,-116.908882
51943355.119826,-114.402046
51948801.742919,-112.488602
51954248.366013,-116.452339
51959694.989107,-112.916725
51965141.612200,-115.562836
51970588.235294,-113.245079
51976034.858388,-114.396065
51981481.481481,-114.102936
51986928.104575,-113.199402
51992374.727669,-115.016006
51997821.350763,-122.013260
52003267.973856,-111.279633
52008714.596950,-112.456520
52014161.220044,-109.506851
52019607.843137,-109.489471
52025054.466231,-112.414459
52030501.089325,-115.700386
52035947.712418,-114.864159
52041394.335512,-116.218048
52046840.958606,-114.639267
52052287.581699,-115.029068
52057734.204793,-112.569572
52063180.827887,-112.106934
52068627.450980,-111.791801
52074074.074074,-110.061050
52079520.697168,-116.699135
52084967.320261,-115.002106
52090413.943355,-112.188858
52095860.566449,-112.658081
52101307.189542,-110.029533
52106753.812636,-113.348663
52112200.435730,-114.357208
52117647.058824,-114.904388
52123093.681917,-109.487915
52128540.305011,-114.045197
52133986.928105,-114.931114
52139433.551198,-107.668007
52144880.174292,-110.008484
52150326.797386,-111.582962
52155773.420479,-111.216583
52161220.043573,-117.953934
52166666.666667,-115.134361
52172113.289760,-113.866684
52177559.912854,-115.390869
52183006.535948,-115.802841
52188453.159041,-111.382263
52193899.782135,-112.060257
52199346.405229,-108.646835
52204793.028322,-112.862022
52210239.651416,-112.629547
52215686.274510,-115.482300
52221132.897603,-117.276878
52226579.520697,-114.049828
52232026.143791,-112.774315
52237472.766885,-119.542267
52242919.389978,-113.575508
52248366.013072,-116.016281
52253812.636166,-117.770203
52259259.259259,-118.436676
52264705.882353,-115.007851
52270152.505447,-115.688103
