frequency,power
51500000.000000,-105.055115
51505446.623094,-105.624969
51510893.246187,-109.021744
51516339.869281,-101.954506
51521786.492375,-103.426819
51527233.115468,-109.165909
51532679.738562,-103.575333
51538126.361656,-107.324905
51543572.984749,-109.307419
51549019.607843,-107.871719
51554466.230937,-110.682816
51559912.854030,-110.437737
51565359.477124,-106.670029
51570806.100218,-106.867645
51576252.723312,-107.312485
51581699.346405,-110.518005
51587145.969499,-105.079308
51592592.592593,-103.135231
51598039.215686,-103.487030
51603485.838780,-111.738983
51608932.461874,-109.307526
51614379.084967,-106.328201
51619825.708061,-106.262512
51625272.331155,-116.272903
51630718.954248,-105.822212
51636165.577342,-104.489853
51641612.200436,-107.066864
51647058.823529,-106.095581
51652505.446623,-103.853462
51657952.069717,-107.094719
51663398.692810,-110.556862
51668845.315904,-110.938225
51674291.938998,-108.456360
51679738.562091,-107.303391
51685185.185185,-111.536095
51690631.808279,-106.005020
51696078.431373,-107.185059
51701525.054466,-103.031731
51706971.677560,-109.609612
51712418.300654,-105.589951
51717864.923747,-112.888504
51723311.546841,-107.727928
51728758.169935,-109.760750
51734204.793028,-107.430573
51739651.416122,-107.288788
51745098.039216,-105.001839
51750544.662309,-107.499023
51755991.285403,-108.658058
51761437.908497,-103.260635
51766884.531590,-108.100754
51772331.154684,-109.552475
51777777.777778,-106.795532
51783224.400871,-107.171852
51788671.023965,-108.114349
51794117.647059,-109.322800
51799564.270153,-111.854187
51805010.893246,-108.589333
51810457.516340,-109.625847
51815904.139434,-108.494110
51821350.762527,-112.548325
51826797.385621,-106.996620
51832244.008715,-107.032822
51837690.631808,-105.397324
51843137.254902,-109.030159
51848583.877996,-105.433929
51854030.501089,-107.612366
51859477.124183,-112.803299
51864923.747277,-109.521118
51870370.370370,-110.286957
51875816.993464,-109.370102
51881263.616558,-108.334198
51886710.239651,-109.314346
51892156.862745,-106.527969
51897603.485839,-110.433670
51903050.108932,-103.494865
51908496.732026,-108.673180
51913943.355120,-106.528938
51919389.978214,-108.173073
51924836.601307,-108.470169
51930283.224401,-106.474365
51935729.847495,-107.842712
51941176.470588,-106.772263
51946623.093682,-109.955376
51952069.716776,-108.894943
51957516.339869,-107.216034
51962962.962963,-106.979584
51968409.586057,-107.439125
51973856.209150,-107.038498
51979302.832244,-109.480354
51984749.455338,-105.572693
51990196.078431,-111.413559
51995642.701525,-109.444031
52001089.324619,-113.089218
52006535.947712,-111.009354
52011982.570806,-109.746025
52017429.193900,-105.967873
52022875.816993,-103.786392
52028322.440087,-104.885323
52033769.063181,-105.404037
52039215.686275,-111.477524
52044662.309368,-107.037491
52050108.932462,-106.960739
52055555.555556,-111.469620
52061002.178649,-109.313797
52066448.801743,-105.294830
52071895.424837,-109.698090
52077342.047930,-109.594315
52082788.671024,-110.388176
52088235.294118,-107.730675
52093681.917211,-109.683769
52099128.540305,-106.839836
52104575.163399,-105.516968
52110021.786492,-105.642014
52115468.409586,-105.534294
52120915.032680,-106.552444
52126361.655773,-107.199554
52131808.278867,-106.506645
52137254.901961,-111.628830
52142701.525054,-105.418045
52148148.148148,-106.937981
52153594.771242,-111.155922
52159041.394336,-103.697983
52164488.017429,-108.441353
52169934.640523,-111.694733
52175381.263617,-107.072479
52180827.886710,-110.653412
52186274.509804,-107.608017
52191721.132898,-107.635056
52197167.755991,-107.153160
52202614.379085,-108.525330
52208061.002179,-112.800362
52213507.625272,-106.830109
52218954.248366,-111.763611
52224400.871460,-109.534058
52229847.494553,-109.570389
52235294.117647,-111.658752
52240740.740741,-108.424347
52246187.363834,-110.060242
52251633.986928,-105.769806
52257080.610022,-108.773964
52262527.233115,-109.021851
52267973.856209,-112.850380
52273420.479303,-112.201576
52278867.102397,-109.859940
52284313.725490,-105.210686
52289760.348584,-108.270432
52295206.971678,-108.531960
52300653.594771,-113.208054
52306100.217865,-107.847984
52311546.840959,-107.050819
52316993.464052,-109.771927
52322440.087146,-110.320427
52327886.710240,-110.241211
52333333.333333,-109.839981
52338779.956427,-105.577560
52344226.579521,-108.454758
52349673.202614,-107.876877
52355119.825708,-113.567543
52360566.448802,-110.348160
52366013.071895,-113.515213
52371459.694989,-109.065437
52376906.318083,-105.655518
52382352.941176,-108.070213
52387799.564270,-110.000114
52393246.187364,-110.785736
52398692.810458,-109.517319
52404139.433551,-110.579941
52409586.056645,-110.223808
52415032.679739,-110.886917
52420479.302832,-107.614212
52425925.925926,-108.073410
52431372.549020,-105.784874
52436819.172113,-111.529175
52442265.795207,-110.937561
52447712.418301,-107.244026
52453159.041394,-110.180702
52458605.664488,-113.642242
52464052.287582,-117.059540
52469498.910675,-112.559799
52474945.533769,-109.174263
52480392.156863,-108.739807
52485838.779956,-111.552849
52491285.403050,-109.899963
52496732.026144,-110.052551
52502178.649237,-112.879700
52507625.272331,-108.626282
52513071.895425,-108.191750
52518518.518519,-108.887527
52523965.141612,-109.067924
52529411.764706,-111.747322
52534858.387800,-109.303734
52540305.010893,-109.703056
52545751.633987,-109.226913
52551198.257081,-107.635147
52556644.880174,-115.792923
52562091.503268,-108.602142
52567538.126362,-105.695007
52572984.749455,-104.223221
52578431.372549,-107.598732
52583877.995643,-111.108047
52589324.618736,-109.119255
52594771.241830,-110.512009
52600217.864924,-108.386604
52605664.488017,-111.201561
52611111.111111,-111.770340
52616557.734205,-109.142296
52622004.357298,-109.512413
52627450.980392,-107.206528
52632897.603486,-109.480774
52638344.226580,-107.328560
52643790.849673,-106.079094
52649237.472767,-111.387474
52654684.095861,-109.242950
52660130.718954,-110.350868
52665577.342048,-108.366562
52671023.965142,-106.238983
52676470.588235,-105.785591
52681917.211329,-110.307617
52687363.834423,-109.298340
52692810.457516,-105.441589
52698257.080610,-106.065369
52703703.703704,-105.310532
52709150.326797,-108.140396
52714596.949891,-109.986938
52720043.572985,-109.065216
52725490.196078,-111.846115
52730936.819172,-110.555206
52736383.442266,-108.827019
52741830.065359,-111.120750
52747276.688453,-110.267151
52752723.311547,-113.975441
52758169.934641,-107.759323
52763616.557734,-109.534988
52769063.180828,-109.926414
