frequency,power
48000000.000000,-108.406830
48005446.623094,-82.588165
48010893.246187,-110.367752
48016339.869281,-99.789879
48021786.492375,-101.313232
48027233.115468,-101.191322
48032679.738562,-104.077843
48038126.361656,-102.851372
48043572.984749,-106.267136
48049019.607843,-102.004272
48054466.230937,-103.155685
48059912.854030,-103.784119
48065359.477124,-108.341209
48070806.100218,-107.693062
48076252.723312,-106.491684
48081699.346405,-105.965584
48087145.969499,-104.927750
48092592.592593,-101.788528
48098039.215686,-102.104691
48103485.838780,-105.503220
48108932.461874,-105.952675
48114379.084967,-107.587784
48119825.708061,-103.357895
48125272.331155,-101.262650
48130718.954248,-104.989258
48136165.577342,-103.194115
48141612.200436,-102.093201
48147058.823529,-102.869659
48152505.446623,-102.405731
48157952.069717,-101.691849
48163398.692810,-104.900070
48168845.315904,-101.996475
48174291.938998,-104.309082
48179738.562091,-107.705215
48185185.185185,-99.556419
48190631.808279,-101.678963
48196078.431373,-106.162575
48201525.054466,-106.803833
48206971.677560,-102.157471
48212418.300654,-105.130150
48217864.923747,-102.970573
48223311.546841,-100.336998
48228758.169935,-99.040688
48234204.793028,-106.598679
48239651.416122,-105.239265
48245098.039216,-104.409218
48250544.662309,-102.073364
48255991.285403,-103.067825
48261437.908497,-105.572266
48266884.531590,-104.312088
48272331.154684,-105.078651
48277777.777778,-110.396881
48283224.400871,-102.484756
48288671.023965,-100.721695
48294117.647059,-102.431862
48299564.270153,-104.224541
48305010.893246,-102.491493
48310457.516340,-101.576271
48315904.139434,-107.820633
48321350.762527,-100.435951
48326797.385621,-103.879257
48332244.008715,-106.289749
48337690.631808,-101.403511
48343137.254902,-105.129005
48348583.877996,-104.074669
48354030.501089,-100.700188
48359477.124183,-100.048866
48364923.747277,-101.166107
48370370.370370,-105.380692
48375816.993464,-103.944168
48381263.616558,-99.672516
48386710.239651,-100.369827
48392156.862745,-105.984772
48397603.485839,-103.083755
48403050.108932,-104.755287
48408496.732026,-103.303871
48413943.355120,-101.316872
48419389.978214,-106.696152
48424836.601307,-104.584518
48430283.224401,-101.505371
48435729.847495,-103.553452
48441176.470588,-104.461288
48446623.093682,-105.743896
48452069.716776,-100.685471
48457516.339869,-101.499069
48462962.962963,-103.900925
48468409.586057,-104.356781
48473856.209150,-104.986526
48479302.832244,-102.411964
48484749.455338,-102.477074
48490196.078431,-103.429985
48495642.701525,-101.630943
48501089.324619,-103.627914
48506535.947712,-101.606300
48511982.570806,-100.476273
48517429.193900,-106.723389
48522875.816993,-103.825912
48528322.440087,-101.685883
48533769.063181,-103.502419
48539215.686275,-108.125107
48544662.309368,-105.900047
48550108.932462,-103.258743
48555555.555556,-103.907967
48561002.178649,-101.209152
48566448.801743,-104.448616
48571895.424837,-102.316284
48577342.047930,-104.612198
48582788.671024,-101.273010
48588235.294118,-102.445915
48593681.917211,-105.264519
48599128.540305,-109.969398
48604575.163399,-102.845985
48610021.786492,-100.795219
48615468.409586,-103.005440
48620915.032680,-100.729782
48626361.655773,-102.193382
48631808.278867,-99.927948
48637254.901961,-101.211533
48642701.525054,-102.837669
48648148.148148,-99.600113
48653594.771242,-103.753143
48659041.394336,-101.673927
48664488.017429,-103.784882
48669934.640523,-105.231705
48675381.263617,-105.923508
48680827.886710,-102.238052
48686274.509804,-102.925758
48691721.132898,-100.946190
48697167.755991,-101.051132
48702614.379085,-103.740433
48708061.002179,-103.449333
48713507.625272,-102.440018
48718954.248366,-107.271339
48724400.871460,-103.995087
48729847.494553,-105.498535
48735294.117647,-102.646286
48740740.740741,-105.064812
48746187.363834,-102.377914
48751633.986928,-105.508820
48757080.610022,-105.494125
48762527.233115,-101.352081
48767973.856209,-101.946678
48773420.479303,-102.955925
48778867.102397,-102.661316
48784313.725490,-101.626114
48789760.348584,-102.086029
48795206.971678,-104.668930
48800653.594771,-104.870926
48806100.217865,-106.156525
48811546.840959,-102.437218
48816993.464052,-105.189697
48822440.087146,-101.581276
48827886.710240,-102.636833
48833333.333333,-101.008011
48838779.956427,-102.516243
48844226.579521,-105.760201
48849673.202614,-99.921280
48855119.825708,-104.010376
48860566.448802,-107.106842
48866013.071895,-108.171356
48871459.694989,-104.096001
48876906.318083,-105.556656
48882352.941176,-105.047256
48887799.564270,-100.858734
48893246.187364,-101.134796
48898692.810458,-97.449982
48904139.433551,-102.691422
48909586.056645,-102.477455
48915032.679739,-101.168320
48920479.302832,-103.443214
48925925.925926,-101.956375
48931372.549020,-102.364418
48936819.172113,-105.386398
48942265.795207,-99.464989
48947712.418301,-105.436844
48953159.041394,-102.980591
48958605.664488,-106.186974
48964052.287582,-103.891945
48969498.910675,-105.270508
48974945.533769,-101.362579
48980392.156863,-103.807388
48985838.779956,-99.892746
48991285.403050,-106.923248
48996732.026144,-106.673660
49002178.649237,-104.816147
49007625.272331,-107.371170
49013071.895425,-99.955704
49018518.518519,-106.253479
49023965.141612,-104.415733
49029411.764706,-105.855095
49034858.387800,-100.314728
49040305.010893,-102.611809
49045751.633987,-106.351280
49051198.257081,-104.080902
49056644.880174,-102.379982
49062091.503268,-104.246185
49067538.126362,-102.057259
49072984.749455,-103.600082
49078431.372549,-105.414978
49083877.995643,-102.384605
49089324.618736,-99.890404
49094771.241830,-100.205498
49100217.864924,-100.166695
49105664.488017,-103.979263
49111111.111111,-103.453125
49116557.734205,-100.702965
49122004.357298,-105.298172
49127450.980392,-104.781403
49132897.603486,-107.728821
49138344.226580,-104.032104
49143790.849673,-101.654602
49149237.472767,-102.359497
49154684.095861,-105.268105
49160130.718954,-102.843010
49165577.342048,-103.963020
49171023.965142,-102.059708
49176470.588235,-102.991074
49181917.211329,-108.679207
49187363.834423,-106.506241
49192810.457516,-107.039680
49198257.080610,-105.843613
49203703.703704,-105.754021
49209150.326797,-106.251335
49214596.949891,-103.776703
49220043.572985,-103.484665
49225490.196078,-106.349747
49230936.819172,-101.658241
49236383.442266,-107.828438
49241830.065359,-104.468826
49247276.688453,-104.633492
49252723.311547,-107.756241
49258169.934641,-108.096306
49263616.557734,-108.671906
49269063.180828,-104.797638
49274509.803922,-105.169937
49279956.427015,-103.931763
49285403.050109,-105.878326
49290849.673203,-103.817841
49296296.296296,-104.182190
49301742.919390,-105.288963
49307189.542484,-103.195564
49312636.165577,-102.121918
49318082.788671,-104.216240
49323529.411765,-107.832230
49328976.034858,-103.305901
49334422.657952,-104.895592
49339869.281046,-104.666328
49345315.904139,-103.362724
49350762.527233,-104.675705
49356209.150327,-105.204887
49361655.773420,-100.789421
49367102.396514,-101.286804
49372549.019608,-100.644875
49377995.642702,-102.983749
49383442.265795,-104.565971
49388888.888889,-101.720245
49394335.511983,-104.158936
49399782.135076,-106.535728
49405228.758170,-105.219383
49410675.381264,-104.795197
49416122.004357,-106.114273
49421568.627451,-101.854332
49427015.250545,-104.988792
49432461.873638,-102.798676
49437908.496732,-101.844772
49443355.119826,-103.157005
49448801.742919,-103.904282
49454248.366013,-101.868103
49459694.989107,-108.588196
49465141.612200,-105.472176
49470588.235294,-107.595741
49476034.858388,-109.200012
49481481.481481,-103.797615
49486928.104575,-102.622566
49492374.727669,-106.654282
49497821.350763,-101.787964
49503267.973856,-104.272141
49508714.596950,-106.079819
49514161.220044,-105.932091
49519607.843137,-107.905769
49525054.466231,-105.637657
49530501.089325,-105.409393
49535947.712418,-106.543564
49541394.335512,-104.599419
49546840.958606,-105.148422
49552287.581699,-104.513771
49557734.204793,-103.977043
49563180.827887,-103.716293
49568627.450980,-105.892166
49574074.074074,-102.983742
49579520.697168,-105.619949
49584967.320261,-107.455887
49590413.943355,-105.039223
49595860.566449,-107.703278
49601307.189542,-103.219589
49606753.812636,-103.036339
49612200.435730,-106.706741
49617647.058824,-106.037636
49623093.681917,-103.586472
49628540.305011,-103.530533
49633986.928105,-106.876976
49639433.551198,-104.272491
49644880.174292,-105.289474
49650326.797386,-104.567963
49655773.420479,-107.508545
49661220.043573,-108.686829
49666666.666667,-108.383041
49672113.289760,-106.241234
49677559.912854,-105.818085
49683006.535948,-108.440765
49688453.159041,-105.778336
49693899.782135,-104.510300
49699346.405229,-104.445084
49704793.028322,-104.628616
49710239.651416,-108.163742
49715686.274510,-103.917603
49721132.897603,-107.809753
49726579.520697,-106.865265
49732026.143791,-107.420662
49737472.766885,-109.506371
49742919.389978,-109.756615
49748366.013072,-104.663933
49753812.636166,-109.492104
49759259.259259,-108.002380
49764705.882353,-104.654549
49770152.505447,-105.516602
49775599.128540,-107.066986
49781045.751634,-106.572685
49786492.374728,-108.133080
49791938.997821,-108.670662
49797385.620915,-107.132706
49802832.244009,-105.859001
49808278.867102,-110.311623
49813725.490196,-107.373672
49819172.113290,-108.260765
49824618.736383,-106.545746
49830065.359477,-107.716782
49835511.982571,-106.206497
49840958.605664,-106.802490
49846405.228758,-108.155731
49851851.851852,-107.787178
49857298.474946,-106.786392
49862745.098039,-107.740059
49868191.721133,-109.668877
49873638.344227,-108.637146
49879084.967320,-109.112709
49884531.590414,-109.706940
49889978.213508,-105.373543
49895424.836601,-109.095490
49900871.459695,-106.960670
49906318.082789,-104.836517
49911764.705882,-111.585503
49917211.328976,-113.848106
49922657.952070,-106.028145
49928104.575163,-113.203575
49933551.198257,-103.405952
49938997.821351,-107.235840
49944444.444444,-107.307045
49949891.067538,-108.200714
49955337.690632,-115.370758
49960784.313725,-116.984169
49966230.936819,-105.296974
49971677.559913,-106.499062
49977124.183007,-110.466492
49982570.806100,-108.813477
49988017.429194,-103.853363
49993464.052288,-105.294403
49998910.675381,-111.956421
50004357.298475,-106.483772
50009803.921569,-112.836159
50015250.544662,-109.994934
50020697.167756,-109.690102
50026143.790850,-106.949631
50031590.413943,-105.528214
50037037.037037,-108.728569
50042483.660131,-106.773239
50047930.283224,-110.592392
50053376.906318,-109.938309
50058823.529412,-111.730614
50064270.152505,-112.796410
50069716.775599,-110.110199
50075163.398693,-107.388824
50080610.021786,-109.122101
50086056.644880,-112.214478
50091503.267974,-106.936234
50096949.891068,-109.762451
50102396.514161,-107.394089
50107843.137255,-109.554077
50113289.760349,-106.426888
50118736.383442,-104.310570
50124183.006536,-111.010834
50129629.629630,-109.382057
50135076.252723,-108.864075
50140522.875817,-109.940102
50145969.498911,-112.186935
50151416.122004,-104.680595
50156862.745098,-108.977272
50162309.368192,-100.228050
50167755.991285,-107.304382
50173202.614379,-111.438171
50178649.237473,-109.649323
50184095.860566,-106.859940
50189542.483660,-110.918396
50194989.106754,-108.030396
50200435.729847,-112.340042
50205882.352941,-112.161621
50211328.976035,-111.295403
50216775.599129,-106.729286
50222222.222222,-111.054688
50227668.845316,-110.264175
50233115.468410,-108.297272
50238562.091503,-108.679840
50244008.714597,-110.177315
50249455.337691,-113.495262
50254901.960784,-112.576340
50260348.583878,-110.605530
50265795.206972,-107.514297
50271241.830065,-108.056793
50276688.453159,-109.009331
50282135.076253,-109.980057
50287581.699346,-110.149467
50293028.322440,-108.389114
50298474.945534,-109.726334
50303921.568627,-107.515907
50309368.191721,-107.192856
50314814.814815,-104.025230
50320261.437909,-112.137009
50325708.061002,-111.541443
50331154.684096,-104.957245
50336601.307190,-110.780022
50342047.930283,-109.617020
50347494.553377,-108.042053
50352941.176471,-106.651070
50358387.799564,-104.644997
50363834.422658,-107.634270
50369281.045752,-112.254700
50374727.668845,-105.959160
50380174.291939,-109.630547
50385620.915033,-108.537834
50391067.538126,-106.672974
50396514.161220,-108.516510
50401960.784314,-108.193741
50407407.407407,-108.286888
50412854.030501,-109.067322
50418300.653595,-111.643890
50423747.276688,-107.110359
50429193.899782,-107.304657
50434640.522876,-106.447441
50440087.145969,-109.654068
50445533.769063,-108.684998
50450980.392157,-107.413925
50456427.015251,-107.023666
50461873.638344,-111.059227
50467320.261438,-109.315094
50472766.884532,-110.776360
50478213.507625,-105.483940
50483660.130719,-106.542496
50489106.753813,-110.501343
50494553.376906,-111.765816
50500000.000000,-109.937286
50505446.623094,-107.242195
50510893.246187,-106.939919
50516339.869281,-105.989876
50521786.492375,-106.316437
50527233.115468,-107.183792
50532679.738562,-109.255493
50538126.361656,-107.967117
50543572.984749,-112.034576
50549019.607843,-104.493904
50554466.230937,-107.013382
50559912.854031,-107.527092
50565359.477124,-104.268105
50570806.100218,-103.996933
50576252.723312,-109.912231
50581699.346405,-106.095314
50587145.969499,-108.614960
50592592.592593,-109.434067
50598039.215686,-108.587654
50603485.838780,-105.238815
50608932.461874,-106.885025
50614379.084967,-105.111603
50619825.708061,-104.735374
50625272.331155,-108.946999
50630718.954248,-102.711632
50636165.577342,-107.018578
50641612.200436,-108.912971
50647058.823529,-108.407242
50652505.446623,-107.429230
50657952.069717,-107.896713
50663398.692810,-113.740273
50668845.315904,-108.022522
50674291.938998,-105.078964
50679738.562091,-105.602005
50685185.185185,-107.514130
50690631.808279,-103.739052
50696078.431373,-103.143394
50701525.054466,-105.917114
50706971.677560,-103.852119
50712418.300654,-104.574280
50717864.923747,-108.087280
50723311.546841,-105.218903
50728758.169935,-106.237549
50734204.793028,-107.494652
50739651.416122,-107.544281
50745098.039216,-107.002808
50750544.662309,-111.739502
50755991.285403,-104.846268
50761437.908497,-106.189430
50766884.531590,-105.634918
50772331.154684,-107.722130
50777777.777778,-111.121284
50783224.400871,-112.902588
50788671.023965,-106.598541
50794117.647059,-108.401794
50799564.270153,-105.750008
50805010.893246,-109.063789
50810457.516340,-102.905159
50815904.139434,-107.188995
50821350.762527,-105.691208
50826797.385621,-106.469490
50832244.008715,-110.323486
50837690.631808,-111.042091
50843137.254902,-106.299240
50848583.877996,-110.316170
50854030.501089,-107.074043
50859477.124183,-111.441383
50864923.747277,-109.939034
50870370.370370,-105.314133
50875816.993464,-105.803635
50881263.616558,-106.856728
50886710.239651,-106.186447
50892156.862745,-106.569412
50897603.485839,-104.401505
50903050.108932,-104.043884
50908496.732026,-106.042900
50913943.355120,-112.825775
50919389.978214,-106.380318
50924836.601307,-108.282669
50930283.224401,-105.318871
50935729.847495,-104.551804
50941176.470588,-106.352379
50946623.093682,-108.124176
50952069.716776,-103.810394
50957516.339869,-108.526756
50962962.962963,-105.043449
50968409.586057,-108.910995
50973856.209150,-107.134666
50979302.832244,-109.422058
50984749.455338,-108.628151
50990196.078431,-106.480698
50995642.701525,-106.114151
51001089.324619,-106.235085
51006535.947712,-108.986801
51011982.570806,-104.505798
51017429.193900,-103.842201
51022875.816993,-103.516541
51028322.440087,-103.530289
51033769.063181,-108.574898
51039215.686275,-103.155891
51044662.309368,-108.651352
51050108.932462,-107.588005
51055555.555556,-108.200775
51061002.178649,-104.384766
51066448.801743,-107.377319
51071895.424837,-106.562660
51077342.047930,-109.626755
51082788.671024,-102.052414
51088235.294118,-107.237434
51093681.917211,-104.168472
51099128.540305,-105.495941
51104575.163399,-104.728210
51110021.786492,-107.603470
51115468.409586,-106.728333
51120915.032680,-107.647484
51126361.655773,-108.629578
51131808.278867,-108.308182
51137254.901961,-103.090370
