frequency,power
48500000.000000,-116.185005
48505446.623094,-120.739426
48510893.246187,-111.223206
48516339.869281,-109.077820
48521786.492375,-113.997818
48527233.115468,-112.031395
48532679.738562,-113.471062
48538126.361656,-110.292679
48543572.984749,-109.984695
48549019.607843,-115.520676
48554466.230937,-112.141449
48559912.854030,-110.701721
48565359.477124,-112.434982
48570806.100218,-108.268692
48576252.723312,-110.409897
48581699.346405,-112.995926
48587145.969499,-109.227463
48592592.592593,-110.379562
48598039.215686,-111.793739
48603485.838780,-111.281204
48608932.461874,-111.876511
48614379.084967,-110.534912
48619825.708061,-107.381432
48625272.331155,-114.153351
48630718.954248,-113.955925
48636165.577342,-107.671143
48641612.200436,-109.679718
48647058.823529,-110.819389
48652505.446623,-110.629417
48657952.069717,-113.947571
48663398.692810,-108.482277
48668845.315904,-111.781128
48674291.938998,-108.634521
48679738.562091,-111.620010
48685185.185185,-109.198517
48690631.808279,-110.210350
48696078.431373,-108.305855
48701525.054466,-111.199570
48706971.677560,-110.058708
48712418.300654,-108.635567
48717864.923747,-114.938477
48723311.546841,-107.704918
48728758.169935,-108.753174
48734204.793028,-108.638550
48739651.416122,-108.980408
48745098.039216,-109.498985
48750544.662309,-108.552322
48755991.285403,-108.564903
48761437.908497,-107.503082
48766884.531590,-111.733589
48772331.154684,-108.529930
48777777.777778,-112.027122
48783224.400871,-111.788513
48788671.023965,-111.975204
48794117.647059,-108.833122
48799564.270153,-110.725281
48805010.893246,-110.747032
48810457.516340,-111.347382
48815904.139434,-107.652428
48821350.762527,-110.621262
48826797.385621,-111.318214
48832244.008715,-114.102745
48837690.631808,-110.999611
48843137.254902,-112.019958
48848583.877996,-110.318604
48854030.501089,-107.660339
48859477.124183,-111.743919
48864923.747277,-113.987900
48870370.370370,-109.271866
48875816.993464,-110.750580
48881263.616558,-110.274918
48886710.239651,-107.610153
48892156.862745,-112.560844
48897603.485839,-109.426514
48903050.108932,-109.925735
48908496.732026,-110.867760
48913943.355120,-109.717148
48919389.978214,-109.111664
48924836.601307,-109.571983
48930283.224401,-110.467377
48935729.847495,-106.645973
48941176.470588,-107.243767
48946623.093682,-108.307533
48952069.716776,-110.236954
48957516.339869,-112.418304
48962962.962963,-111.132416
48968409.586057,-118.019379
48973856.209150,-113.565079
48979302.832244,-118.503082
48984749.455338,-105.704460
48990196.078431,-109.178452
48995642.701525,-109.948410
49001089.324619,-111.346497
49006535.947712,-110.724991
49011982.570806,-112.396362
49017429.193900,-109.692093
49022875.816993,-108.777359
49028322.440087,-109.735115
49033769.063181,-111.496613
49039215.686275,-112.744125
49044662.309368,-112.288933
49050108.932462,-110.344002
49055555.555556,-110.521767
49061002.178649,-109.851753
49066448.801743,-109.088333
49071895.424837,-112.559807
49077342.047930,-105.964981
49082788.671024,-108.868668
49088235.294118,-110.487068
49093681.917211,-108.602890
49099128.540305,-115.780624
49104575.163399,-112.886642
49110021.786492,-110.053818
49115468.409586,-113.362778
49120915.032680,-104.983887
49126361.655773,-104.573326
49131808.278867,-106.700150
49137254.901961,-106.311676
49142701.525054,-105.886017
49148148.148148,-110.630768
49153594.771242,-108.445625
49159041.394336,-108.513199
49164488.017429,-105.881432
49169934.640523,-112.396896
49175381.263617,-110.734268
49180827.886710,-112.689209
49186274.509804,-108.453171
49191721.132898,-114.401871
49197167.755991,-108.637085
49202614.379085,-110.679543
49208061.002179,-109.591057
49213507.625272,-108.266304
49218954.248366,-109.763878
49224400.871460,-110.313568
49229847.494553,-109.129173
49235294.117647,-114.000092
49240740.740741,-115.244209
49246187.363834,-111.227890
49251633.986928,-110.638153
49257080.610022,-108.469841
49262527.233115,-112.231255
49267973.856209,-111.465622
49273420.479303,-113.175598
49278867.102397,-107.703186
49284313.725490,-112.382736
49289760.348584,-114.902557
49295206.971678,-109.151543
49300653.594771,-107.603210
49306100.217865,-110.904915
49311546.840959,-116.530853
49316993.464052,-110.446335
49322440.087146,-114.092628
49327886.710240,-106.420143
49333333.333333,-107.993309
49338779.956427,-111.089539
49344226.579521,-107.594467
49349673.202614,-106.901398
49355119.825708,-110.396698
49360566.448802,-110.621834
49366013.071895,-108.359711
49371459.694989,-112.125587
49376906.318083,-112.772552
49382352.941176,-112.063362
49387799.564270,-107.933090
49393246.187364,-108.733231
49398692.810458,-109.257523
49404139.433551,-112.009033
49409586.056645,-110.240181
49415032.679739,-111.189392
49420479.302832,-111.950111
49425925.925926,-111.899734
49431372.549020,-109.496826
49436819.172113,-110.979431
49442265.795207,-108.377014
49447712.418301,-113.356819
49453159.041394,-107.950294
49458605.664488,-110.822464
49464052.287582,-110.224876
49469498.910675,-115.029465
49474945.533769,-108.551071
49480392.156863,-107.259628
49485838.779956,-109.107506
49491285.403050,-107.868637
49496732.026144,-108.680641
49502178.649237,-112.640945
49507625.272331,-113.327217
49513071.895425,-108.899452
49518518.518519,-107.155182
49523965.141612,-111.140640
49529411.764706,-106.530067
49534858.387800,-107.141197
49540305.010893,-108.421852
49545751.633987,-108.139969
49551198.257081,-111.732986
49556644.880174,-108.065247
49562091.503268,-108.915062
49567538.126362,-106.778687
49572984.749455,-114.354111
49578431.372549,-115.345749
49583877.995643,-106.923203
49589324.618736,-108.271172
49594771.241830,-112.347557
49600217.864924,-108.918419
49605664.488017,-108.100746
49611111.111111,-108.802094
49616557.734205,-109.647865
49622004.357298,-108.442444
49627450.980392,-104.553520
49632897.603486,-109.240585
49638344.226580,-111.345001
49643790.849673,-109.482620
49649237.472767,-107.498856
49654684.095861,-109.591888
49660130.718954,-109.533958
49665577.342048,-106.580170
49671023.965142,-110.051491
49676470.588235,-109.438614
49681917.211329,-110.293816
49687363.834423,-108.515167
49692810.457516,-110.327896
49698257.080610,-109.190506
49703703.703704,-114.809464
49709150.326797,-108.733757
49714596.949891,-109.769226
49720043.572985,-113.770737
49725490.196078,-110.810173
49730936.819172,-109.450165
49736383.442266,-112.660645
49741830.065359,-110.401070
49747276.688453,-110.631783
49752723.311547,-111.267403
49758169.934641,-105.032387
49763616.557734,-107.272377
49769063.180828,-107.060349
49774509.803922,-108.765823
49779956.427015,-109.547913
49785403.050109,-111.186989
49790849.673203,-111.978752
49796296.296296,-110.163811
49801742.919390,-106.111641
49807189.542484,-110.679459
49812636.165577,-110.060516
49818082.788671,-108.738930
49823529.411765,-112.719101
49828976.034858,-109.819984
49834422.657952,-109.450615
49839869.281046,-110.592659
49845315.904139,-114.454796
49850762.527233,-110.397705
49856209.150327,-111.543839
49861655.773420,-107.453568
49867102.396514,-114.951385
49872549.019608,-108.157387
49877995.642702,-108.403717
49883442.265795,-109.735550
49888888.888889,-108.014496
49894335.511983,-105.930298
49899782.135076,-109.945984
49905228.758170,-109.575882
49910675.381264,-111.727097
49916122.004357,-112.713737
49921568.627451,-110.350876
49927015.250545,-109.749924
49932461.873638,-112.693771
49937908.496732,-104.246750
49943355.119826,-108.727180
49948801.742919,-110.883698
49954248.366013,-110.651230
49959694.989107,-111.683586
49965141.612200,-110.590218
49970588.235294,-109.691231
49976034.858388,-109.697937
49981481.481481,-109.910202
49986928.104575,-105.388702
49992374.727669,-105.530334
49997821.350763,-108.166924
50003267.973856,-110.274200
50008714.596950,-110.437157
50014161.220044,-109.760345
50019607.843137,-110.496254
50025054.466231,-110.446159
50030501.089325,-113.208626
50035947.712418,-111.178436
50041394.335512,-114.109329
50046840.958606,-109.300644
50052287.581699,-111.847443
50057734.204793,-110.474350
50063180.827887,-110.434784
50068627.450980,-108.714287
50074074.074074,-111.209503
50079520.697168,-108.273773
50084967.320261,-110.603745
50090413.943355,-110.941994
50095860.566449,-111.071381
50101307.189542,-109.876892
50106753.812636,-111.091072
50112200.435730,-112.197723
50117647.058824,-109.441383
50123093.681917,-107.959206
50128540.305011,-108.312904
50133986.928105,-112.596313
50139433.551198,-112.223427
50144880.174292,-106.886749
50150326.797386,-107.020714
50155773.420479,-107.479828
50161220.043573,-113.374413
50166666.666667,-105.745789
50172113.289760,-106.928192
50177559.912854,-105.461670
50183006.535948,-108.008896
50188453.159041,-111.452957
50193899.782135,-111.414581
50199346.405229,-108.540955
50204793.028322,-111.705719
50210239.651416,-110.931274
50215686.274510,-109.584137
50221132.897603,-109.118347
50226579.520697,-110.158524
50232026.143791,-111.230049
50237472.766885,-107.526993
50242919.389978,-113.797745
50248366.013072,-109.464661
50253812.636166,-107.337051
50259259.259259,-107.255356
50264705.882353,-108.816177
50270152.505447,-112.549194
50275599.128540,-111.313599
50281045.751634,-111.716446
50286492.374728,-117.924232
50291938.997821,-110.098732
50297385.620915,-112.262001
50302832.244009,-108.544548
50308278.867102,-112.579300
50313725.490196,-109.133316
50319172.113290,-114.097816
50324618.736383,-110.225708
50330065.359477,-112.803207
50335511.982571,-111.545097
50340958.605664,-110.248276
50346405.228758,-107.503555
50351851.851852,-107.576416
50357298.474946,-108.443672
50362745.098039,-114.471512
50368191.721133,-112.130928
50373638.344227,-111.917229
50379084.967320,-109.079285
50384531.590414,-110.086632
50389978.213508,-107.624237
50395424.836601,-107.020454
50400871.459695,-110.047577
50406318.082789,-107.844513
50411764.705882,-108.900589
50417211.328976,-111.813194
50422657.952070,-105.558655
50428104.575163,-113.657913
50433551.198257,-110.079758
50438997.821351,-108.279640
50444444.444444,-109.101143
50449891.067538,-111.909988
50455337.690632,-112.481003
50460784.313725,-116.086960
50466230.936819,-110.250099
50471677.559913,-108.848190
50477124.183007,-112.033096
50482570.806100,-107.533890
50488017.429194,-110.606163
50493464.052288,-108.893387
50498910.675381,-111.507736
50504357.298475,-112.087646
50509803.921569,-111.616280
50515250.544662,-110.691063
50520697.167756,-111.595703
50526143.790850,-107.200150
50531590.413943,-110.203979
50537037.037037,-112.049484
50542483.660131,-110.086632
50547930.283224,-113.308914
50553376.906318,-111.215981
50558823.529412,-111.943817
50564270.152505,-108.125069
50569716.775599,-111.538895
50575163.398693,-105.994370
50580610.021786,-109.013885
50586056.644880,-114.339134
50591503.267974,-111.615219
50596949.891068,-109.171005
50602396.514161,-113.149414
50607843.137255,-109.960678
50613289.760349,-111.517044
50618736.383442,-108.162949
50624183.006536,-108.904144
50629629.629630,-108.394737
50635076.252723,-114.188217
50640522.875817,-116.347542
