frequency,power
49500000.000000,-104.961632
49505446.623094,-105.288559
49510893.246187,-108.570419
49516339.869281,-110.194618
49521786.492375,-105.063629
49527233.115468,-108.342010
49532679.738562,-107.141785
49538126.361656,-105.129776
49543572.984749,-106.695770
49549019.607843,-106.924980
49554466.230937,-104.611298
49559912.854030,-106.569260
49565359.477124,-108.321075
49570806.100218,-110.263145
49576252.723312,-109.118843
49581699.346405,-107.182381
49587145.969499,-105.198151
49592592.592593,-106.265579
49598039.215686,-105.188934
49603485.838780,-106.288071
49608932.461874,-107.590622
49614379.084967,-103.288239
49619825.708061,-107.604439
49625272.331155,-111.483673
49630718.954248,-110.839813
49636165.577342,-107.258751
49641612.200436,-107.263779
49647058.823529,-108.825081
49652505.446623,-108.484604
49657952.069717,-109.177872
49663398.692810,-109.422440
49668845.315904,-109.513618
49674291.938998,-111.697052
49679738.562091,-107.246437
49685185.185185,-111.310890
49690631.808279,-110.589172
49696078.431373,-107.322784
49701525.054466,-106.168381
49706971.677560,-107.538986
49712418.300654,-111.745079
49717864.923747,-107.661850
49723311.546841,-105.633911
49728758.169935,-108.628983
49734204.793028,-102.755783
49739651.416122,-105.394440
49745098.039216,-109.584846
49750544.662309,-108.307716
49755991.285403,-110.513138
49761437.908497,-109.924004
49766884.531590,-112.594818
49772331.154684,-111.565689
49777777.777778,-111.146629
49783224.400871,-108.944061
49788671.023965,-111.382812
49794117.647059,-105.069687
49799564.270153,-109.305130
49805010.893246,-110.088364
49810457.516340,-109.310989
49815904.139434,-109.976662
49821350.762527,-108.782288
49826797.385621,-107.668266
49832244.008715,-109.032562
49837690.631808,-110.934662
49843137.254902,-109.142151
49848583.877996,-108.496925
49854030.501089,-105.787445
49859477.124183,-108.262848
49864923.747277,-105.801460
49870370.370370,-105.670242
49875816.993464,-110.666245
49881263.616558,-109.205101
49886710.239651,-107.874725
49892156.862745,-107.665138
49897603.485839,-109.161598
49903050.108932,-111.534454
49908496.732026,-107.828667
49913943.355120,-106.679466
49919389.978214,-109.922241
49924836.601307,-114.279388
49930283.224401,-106.557076
49935729.847495,-109.807777
49941176.470588,-108.776558
49946623.093682,-111.453979
49952069.716776,-112.493675
49957516.339869,-104.905441
49962962.962963,-108.573227
49968409.586057,-113.325256
49973856.209150,-108.680771
49979302.832244,-109.246201
49984749.455338,-107.448570
49990196.078431,-105.323227
49995642.701525,-108.770790
50001089.324619,-107.829193
50006535.947712,-109.361740
50011982.570806,-111.444130
50017429.193900,-111.260719
50022875.816993,-108.409378
50028322.440087,-108.963402
50033769.063181,-114.461861
50039215.686275,-110.228256
50044662.309368,-111.285492
50050108.932462,-107.951965
50055555.555556,-108.956253
50061002.178649,-106.631355
50066448.801743,-111.488617
50071895.424837,-109.023880
50077342.047930,-107.474472
50082788.671024,-105.357941
50088235.294118,-111.273308
50093681.917211,-109.807579
50099128.540305,-104.985428
50104575.163399,-113.774475
50110021.786492,-107.342606
50115468.409586,-108.784950
50120915.032680,-105.203171
50126361.655773,-104.882324
50131808.278867,-105.971481
50137254.901961,-106.682312
50142701.525054,-105.942032
50148148.148148,-104.902267
50153594.771242,-110.192650
50159041.394336,-107.791634
50164488.017429,-108.868103
50169934.640523,-105.239288
50175381.263617,-111.291489
50180827.886710,-108.174179
50186274.509804,-108.368652
50191721.132898,-109.600609
50197167.755991,-103.055573
50202614.379085,-109.243477
50208061.002179,-113.102936
50213507.625272,-113.865326
50218954.248366,-104.617767
50224400.871460,-106.273804
50229847.494553,-107.029610
50235294.117647,-106.115967
50240740.740741,-109.489426
50246187.363834,-104.737000
50251633.986928,-103.065376
50257080.610022,-111.048820
50262527.233115,-106.804031
50267973.856209,-109.644485
50273420.479303,-111.138687
50278867.102397,-108.415161
50284313.725490,-110.254372
50289760.348584,-108.234390
50295206.971678,-105.648483
50300653.594771,-107.003746
50306100.217865,-107.273529
50311546.840959,-107.006668
50316993.464052,-105.946579
50322440.087146,-107.473541
50327886.710240,-104.745926
50333333.333333,-109.608040
50338779.956427,-109.324249
50344226.579521,-108.043015
50349673.202614,-109.858902
50355119.825708,-105.726349
50360566.448802,-112.175987
50366013.071895,-106.133842
50371459.694989,-108.847763
50376906.318083,-103.587631
50382352.941176,-105.261581
50387799.564270,-107.921051
50393246.187364,-110.576286
50398692.810458,-103.291962
50404139.433551,-112.370895
50409586.056645,-112.670677
50415032.679739,-111.081009
50420479.302832,-107.952187
50425925.925926,-111.032143
50431372.549020,-108.297287
50436819.172113,-106.798317
50442265.795207,-108.907288
50447712.418301,-109.647736
50453159.041394,-107.711372
50458605.664488,-106.186310
50464052.287582,-108.559258
50469498.910675,-105.445694
50474945.533769,-108.206528
50480392.156863,-109.505859
50485838.779956,-107.792328
50491285.403050,-108.846451
50496732.026144,-105.607834
50502178.649237,-108.543716
50507625.272331,-111.354248
50513071.895425,-111.859673
50518518.518519,-106.086273
50523965.141612,-105.381859
50529411.764706,-107.851791
50534858.387800,-111.159760
50540305.010893,-109.863670
50545751.633987,-107.413101
50551198.257081,-104.642403
50556644.880174,-103.182922
50562091.503268,-102.333595
50567538.126362,-105.271072
50572984.749455,-105.161407
50578431.372549,-103.924652
50583877.995643,-106.501556
50589324.618736,-106.556915
50594771.241830,-111.848267
50600217.864924,-108.856995
50605664.488017,-109.110909
50611111.111111,-104.836655
50616557.734205,-109.074516
50622004.357298,-105.448380
50627450.980392,-107.146378
50632897.603486,-102.207176
50638344.226580,-104.423645
50643790.849673,-109.277145
50649237.472767,-106.908920
50654684.095861,-110.982391
50660130.718954,-109.270638
50665577.342048,-107.146309
50671023.965142,-109.787354
50676470.588235,-107.624474
50681917.211329,-106.589127
50687363.834423,-106.894867
50692810.457516,-105.454361
50698257.080610,-105.879654
50703703.703704,-107.027626
50709150.326797,-108.133514
50714596.949891,-109.928604
50720043.572985,-108.495949
50725490.196078,-106.319130
50730936.819172,-108.969391
50736383.442266,-104.408829
50741830.065359,-104.539780
50747276.688453,-104.525772
50752723.311547,-104.178314
50758169.934641,-107.372955
50763616.557734,-107.093063
50769063.180828,-107.999962
50774509.803922,-103.666931
50779956.427015,-106.923912
50785403.050109,-105.673523
50790849.673203,-110.385468
50796296.296296,-108.841400
50801742.919390,-106.994743
50807189.542484,-109.431046
50812636.165577,-107.798828
50818082.788671,-109.049461
50823529.411765,-109.957596
50828976.034858,-103.032234
50834422.657952,-104.379311
50839869.281046,-110.741798
50845315.904139,-110.737823
50850762.527233,-106.825882
50856209.150327,-105.153511
50861655.773420,-107.364365
50867102.396514,-106.629707
50872549.019608,-104.306076
50877995.642702,-106.475723
50883442.265795,-103.123619
50888888.888889,-105.659904
50894335.511983,-106.745880
50899782.135076,-104.888672
50905228.758170,-110.162506
50910675.381264,-106.027893
50916122.004357,-108.178070
50921568.627451,-109.073547
50927015.250545,-105.305695
50932461.873638,-107.496796
50937908.496732,-105.005295
50943355.119826,-109.249535
50948801.742919,-103.896729
50954248.366013,-104.932358
50959694.989107,-103.622543
50965141.612200,-106.162491
50970588.235294,-108.261169
50976034.858388,-110.746689
50981481.481481,-109.182961
50986928.104575,-111.091522
50992374.727669,-103.364220
50997821.350763,-104.723618
51003267.973856,-101.642387
51008714.596950,-106.307686
51014161.220044,-106.958504
51019607.843137,-105.339195
51025054.466231,-104.764221
51030501.089325,-111.393730
51035947.712418,-106.801537
51041394.335512,-107.199181
51046840.958606,-108.751755
51052287.581699,-106.436584
51057734.204793,-103.427811
51063180.827887,-106.311554
51068627.450980,-105.705101
51074074.074074,-105.641945
51079520.697168,-109.485336
51084967.320261,-105.716248
51090413.943355,-105.896996
51095860.566449,-106.770737
51101307.189542,-108.334160
51106753.812636,-106.795303
51112200.435730,-102.600517
51117647.058824,-103.758820
51123093.681917,-104.016037
51128540.305011,-107.616837
51133986.928105,-105.997406
51139433.551198,-103.540405
51144880.174292,-105.280823
51150326.797386,-105.929382
51155773.420479,-108.909271
51161220.043573,-108.554581
51166666.666667,-109.279678
51172113.289760,-111.990044
51177559.912854,-102.996384
51183006.535948,-103.061226
51188453.159041,-104.509163
51193899.782135,-103.309341
51199346.405229,-105.569855
51204793.028322,-101.999649
51210239.651416,-102.100304
51215686.274510,-100.878304
51221132.897603,-105.886002
51226579.520697,-104.742775
51232026.143791,-107.105263
51237472.766885,-108.739304
51242919.389978,-103.361595
51248366.013072,-104.528137
51253812.636166,-106.655685
51259259.259259,-105.756119
51264705.882353,-106.226288
51270152.505447,-104.121353
51275599.128540,-104.139847
51281045.751634,-103.087357
51286492.374728,-104.289177
51291938.997821,-107.313316
51297385.620915,-106.606674
51302832.244009,-106.832520
51308278.867102,-105.216866
51313725.490196,-107.389481
51319172.113290,-105.043243
51324618.736383,-104.230385
51330065.359477,-103.198364
51335511.982571,-107.008553
51340958.605664,-105.354935
51346405.228758,-109.495888
51351851.851852,-109.776199
51357298.474946,-111.359070
51362745.098039,-110.332214
51368191.721133,-106.319321
51373638.344227,-106.229675
51379084.967320,-106.156876
51384531.590414,-106.331474
51389978.213508,-104.410027
51395424.836601,-111.686340
51400871.459695,-111.950310
51406318.082789,-108.870102
51411764.705882,-110.530861
51417211.328976,-102.993011
51422657.952070,-106.832344
51428104.575163,-106.447678
51433551.198257,-104.479942
51438997.821351,-104.625412
51444444.444444,-105.600067
51449891.067538,-106.672348
51455337.690632,-104.324989
51460784.313725,-109.210243
51466230.936819,-110.082321
51471677.559913,-103.810875
51477124.183007,-108.655693
51482570.806100,-108.770752
51488017.429194,-110.770195
51493464.052288,-103.310814
51498910.675381,-104.855988
51504357.298475,-108.232765
51509803.921569,-106.148376
51515250.544662,-103.200920
51520697.167756,-106.022797
51526143.790850,-105.493332
51531590.413943,-109.555626
51537037.037037,-105.397354
51542483.660131,-108.196251
51547930.283224,-111.159050
51553376.906318,-106.620636
51558823.529412,-103.358994
51564270.152505,-105.574348
51569716.775599,-108.008888
51575163.398693,-105.062607
51580610.021786,-103.216949
51586056.644880,-107.153397
51591503.267974,-107.693680
51596949.891068,-105.488503
51602396.514161,-102.311646
51607843.137255,-112.810280
51613289.760349,-112.757309
51618736.383442,-106.140587
51624183.006536,-107.599625
51629629.629630,-110.464615
51635076.252723,-109.185318
51640522.875817,-105.010406
51645969.498911,-109.879547
51651416.122004,-108.386040
51656862.745098,-106.627052
51662309.368192,-103.472534
51667755.991285,-103.840088
51673202.614379,-104.908234
51678649.237473,-111.294250
51684095.860566,-107.084167
51689542.483660,-109.277763
51694989.106754,-108.716003
51700435.729847,-112.855103
51705882.352941,-108.369705
51711328.976035,-109.834381
51716775.599129,-108.523788
51722222.222222,-107.766556
