frequency,power
49000000.000000,-100.992729
49005446.623094,-106.166229
49010893.246187,-102.186546
49016339.869281,-105.372559
49021786.492375,-103.349190
49027233.115468,-105.185432
49032679.738562,-103.209618
49038126.361656,-106.178780
49043572.984749,-105.076874
49049019.607843,-102.760178
49054466.230937,-99.092926
49059912.854030,-103.585739
49065359.477124,-104.762070
49070806.100218,-105.089630
49076252.723312,-108.080078
49081699.346405,-106.209259
49087145.969499,-103.039734
49092592.592593,-104.620132
49098039.215686,-105.260811
49103485.838780,-100.576492
49108932.461874,-103.258987
49114379.084967,-104.113068
49119825.708061,-104.592499
49125272.331155,-101.978294
49130718.954248,-102.920563
49136165.577342,-101.345749
49141612.200436,-98.538712
49147058.823529,-104.994690
49152505.446623,-104.104721
49157952.069717,-102.603645
49163398.692810,-106.198486
49168845.315904,-105.080673
49174291.938998,-103.276321
49179738.562091,-103.595123
49185185.185185,-101.393173
49190631.808279,-103.043831
49196078.431373,-103.298767
49201525.054466,-101.393776
49206971.677560,-100.939255
49212418.300654,-102.338531
49217864.923747,-106.585938
49223311.546841,-104.915100
49228758.169935,-108.656143
49234204.793028,-109.239006
49239651.416122,-104.185135
49245098.039216,-102.168716
49250544.662309,-101.918747
49255991.285403,-103.529892
49261437.908497,-104.792641
49266884.531590,-103.359604
49272331.154684,-99.923134
49277777.777778,-104.648926
49283224.400871,-102.403061
49288671.023965,-101.201462
49294117.647059,-104.518318
49299564.270153,-104.747040
49305010.893246,-104.352348
49310457.516340,-101.490158
49315904.139434,-105.427773
49321350.762527,-101.611702
49326797.385621,-104.555145
49332244.008715,-101.659851
49337690.631808,-104.654732
49343137.254902,-103.886978
49348583.877996,-109.309143
49354030.501089,-101.136246
49359477.124183,-103.932846
49364923.747277,-105.085571
49370370.370370,-104.588821
49375816.993464,-106.860260
49381263.616558,-101.792236
49386710.239651,-103.388863
49392156.862745,-103.992462
49397603.485839,-101.407005
49403050.108932,-103.995827
49408496.732026,-102.021141
49413943.355120,-104.765846
49419389.978214,-108.064308
49424836.601307,-105.656319
49430283.224401,-107.006424
49435729.847495,-103.903091
49441176.470588,-107.912247
49446623.093682,-104.312248
49452069.716776,-104.302361
49457516.339869,-105.720596
49462962.962963,-104.830238
49468409.586057,-104.124947
49473856.209150,-103.170090
49479302.832244,-105.369942
49484749.455338,-106.289658
49490196.078431,-105.061920
49495642.701525,-106.192856
49501089.324619,-104.814255
49506535.947712,-105.923416
49511982.570806,-104.960289
49517429.193900,-102.625267
49522875.816993,-106.063538
49528322.440087,-106.257370
49533769.063181,-109.761414
49539215.686275,-104.338669
49544662.309368,-101.950119
49550108.932462,-101.929947
49555555.555556,-107.917183
49561002.178649,-104.537209
49566448.801743,-101.516678
49571895.424837,-105.379265
49577342.047930,-103.667747
49582788.671024,-111.112518
49588235.294118,-104.212601
49593681.917211,-107.721672
49599128.540305,-104.593544
49604575.163399,-106.053001
49610021.786492,-106.644859
49615468.409586,-107.921532
49620915.032680,-108.501465
49626361.655773,-108.234055
49631808.278867,-109.389801
49637254.901961,-106.155937
49642701.525054,-109.323135
49648148.148148,-106.407135
49653594.771242,-106.242462
49659041.394336,-107.201309
49664488.017429,-106.012634
49669934.640523,-101.896202
49675381.263617,-107.088882
49680827.886710,-107.297470
