center frequency:  1000000000.000000  Hz
reference level:  0.000000  dB
IQ band width:  40000000.000000  Hz
Block IQ data >>

    time         |        i          |           q  
-------------------------------------------------------
 0.000000000000  |   0.000462109776  |   0.000186860911
 0.000000017875  |   0.000508016848  |  -0.001359617687
 0.000000035750  |  -0.000547548349  |  -0.000840159366
 0.000000053625  |  -0.001098661683  |   0.000030212233
 0.000000071500  |  -0.000349394220  |   0.000484226854
 0.000000089375  |  -0.000428112282  |   0.000818312517
 0.000000107250  |   0.000166064157  |  -0.000336493395
 0.000000125125  |   0.000046302775  |  -0.000172253305
 0.000000143000  |  -0.000382865401  |   0.000721019169
 0.000000160875  |   0.000336392637  |  -0.000227817247
 0.000000178750  |   0.000474508153  |  -0.000476434769
 0.000000196625  |   0.000035475881  |  -0.000010431928
 0.000000214500  |  -0.000767778023  |  -0.000175807116
 0.000000232375  |  -0.000534031482  |   0.000339468184
 0.000000250250  |   0.000139254204  |  -0.000561704626
 0.000000268125  |   0.000420567609  |  -0.000205854725
 0.000000286000  |   0.001924665645  |   0.000898668193
 0.000000303875  |   0.001066665631  |  -0.000030467651
 0.000000321750  |   0.000364287553  |  -0.001121616573
 0.000000339625  |   0.000416553987  |  -0.000373654417
 0.000000357500  |  -0.000414251524  |   0.000161746750
 0.000000375375  |   0.000256361149  |  -0.000322680455
 0.000000393250  |   0.000015150839  |   0.000227912795
 0.000000411125  |  -0.000338711718  |  -0.000824000279
 0.000000429000  |   0.000313299359  |   0.000055135039
 0.000000446875  |  -0.000879794650  |   0.000918021717
 0.000000464750  |  -0.000413891685  |   0.000062538114
 0.000000482625  |   0.000816189859  |   0.000635356002
 0.000000500501  |   0.001492450596  |   0.000642136147
 0.000000518376  |   0.000515616965  |   0.000020799627
 0.000000536251  |   0.000328924594  |  -0.000102827471
 0.000000554126  |   0.000205950113  |  -0.000512010010
 0.000000572001  |  -0.001088390942  |  -0.000273673475
 0.000000589876  |  -0.000237651795  |  -0.000599597115
 0.000000607751  |   0.000092035101  |  -0.001593574532
 0.000000625626  |  -0.000043988890  |   0.000662753009
